"_id","_labels","class_type","email","is_admin","name","password_hash","phone_number","price","seats","_start","_end","_type","buy_date","time"
"36",":Air_class","Economy","","","","","","200","300",,,,,
"37",":Air_class","Business","","","","","","400","300",,,,,
"38",":Air_class","First","","","","","","800","300",,,,,
"39",":Air_class","Economy","","","","","","200","300",,,,,
"40",":Air_class","Business","","","","","","400","300",,,,,
"41",":Air_class","First","","","","","","800","300",,,,,
"42",":Air_class","Economy","","","","","","200","300",,,,,
"43",":Air_class","Business","","","","","","400","300",,,,,
"44",":Air_class","First","","","","","","800","300",,,,,
"64",":Station","","","","Киевский","","","","",,,,,
"65",":Station","","","","Белорусский","","","","",,,,,
"66",":Station","","","","Киевский","","","","",,,,,
"67",":Station","","","","Ленинградский","","","","",,,,,
"68",":Station","","","","Московский","","","","",,,,,
"69",":Station","","","","Витебский","","","","",,,,,
"70",":Station","","","","Центральный вокзал","","","","",,,,,
"71",":Station","","","","Железнодорожный вокзал","","","","",,,,,
"72",":City","","","","Белград","","","","",,,,,
"73",":Station","","","","Земун","","","","",,,,,
"74",":Station","","","","Ванзе","","","","",,,,,
"75",":Station","","","","Центральный вокзал Киев-Пассажирский","","","","",,,,,
"76",":Station","","","","Минск-Пассажирский","","","","",,,,,
"77",":Train_ride","","","","","","","","",,,,,
"78",":Train_ride","","","","","","","","",,,,,
"79",":Train_ride","","","","","","","","",,,,,
"80",":Train_ride","","","","","","","","",,,,,
"81",":Train_ride","","","","","","","","",,,,,
"82",":Train_ride","","","","","","","","",,,,,
"83",":Train_class","Купэ","","","","","","200","300",,,,,
"84",":Train_class","Плацкарт","","","","","","300","300",,,,,
"85",":Train_class","СВ","","","","","","500","300",,,,,
"86",":Train_class","Купэ","","","","","","200","300",,,,,
"87",":Train_class","Плацкарт","","","","","","300","300",,,,,
"88",":Train_class","СВ","","","","","","500","300",,,,,
"89",":Train_class","Купэ","","","","","","200","300",,,,,
"90",":Train_class","Плацкарт","","","","","","300","300",,,,,
"91",":Train_class","СВ","","","","","","500","300",,,,,
"92",":Train_class","Купэ","","","","","","200","300",,,,,
"93",":Train_class","Плацкарт","","","","","","300","300",,,,,
"94",":Train_class","СВ","","","","","","500","300",,,,,
"95",":Train_class","Купэ","","","","","","200","300",,,,,
"96",":Train_class","Плацкарт","","","","","","300","300",,,,,
"97",":Train_class","СВ","","","","","","500","300",,,,,
"98",":Train_class","Купэ","","","","","","200","300",,,,,
"99",":Train_class","Плацкарт","","","","","","300","300",,,,,
"100",":Train_class","СВ","","","","","","500","300",,,,,
"101",":Person","","fdsf@mail.ru","false","User1","pbkdf2:sha256:150000$vOX4eejq$f4d2b3f89ab286a2d571feeb30fe1b278aaf7bab0ccdb2dd85d244b7a70c5d46","","","",,,,,
"102",":Person","","fsf@gdf.ru","false","User2","pbkdf2:sha256:150000$lFsHmCYf$dbb2a9de3853a85f12fb3c20e8fd19d0ad6c7e3499ba995f23033e5d43ab99ae","","","",,,,,
"103",":Person","","adming@gm.ru","true","admin","pbkdf2:sha256:150000$uKFVumra$3e2a9a6db80ff85080e177a861dc799f4795880aa654abb8e520128c4d82d58b","","","",,,,,
"104",":Person","","fsd@gmail.ru","false","User3","pbkdf2:sha256:150000$EGCt487c$8f66e81d20773ee19a279212e62201dffe54ee96b2f50703eb5c8ef0eb5c6366","","","",,,,,
"105",":Person","","fds@gf.ru","false","User4","pbkdf2:sha256:150000$SMr6ZhmW$e0781d7ce447853882551c57000454814ae8e360072f2a9dd6e076879d0f9e68","","","",,,,,
,,,,,,,,,,"2","0","LOCATED","",""
,,,,,,,,,,"3","0","LOCATED","",""
,,,,,,,,,,"4","0","LOCATED","",""
,,,,,,,,,,"6","5","LOCATED","",""
,,,,,,,,,,"7","5","LOCATED","",""
,,,,,,,,,,"9","8","LOCATED","",""
,,,,,,,,,,"11","10","LOCATED","",""
,,,,,,,,,,"13","12","LOCATED","",""
,,,,,,,,,,"15","14","LOCATED","",""
,,,,,,,,,,"1","0","LOCATED","",""
,,,,,,,,,,"17","16","LOCATED","",""
,,,,,,,,,,"19","18","LOCATED","",""
,,,,,,,,,,"1","20","FROM","","2020-11-21T12:31Z"
,,,,,,,,,,"20","6","TO","","2020-11-21T14:11Z"
,,,,,,,,,,"1","21","FROM","","2020-11-24T05:21Z"
,,,,,,,,,,"21","9","TO","","2020-11-21T08:51Z"
,,,,,,,,,,"6","22","FROM","","2020-11-21T15:30Z"
,,,,,,,,,,"22","17","TO","","2020-11-21T19:51Z"
,,,,,,,,,,"1","23","FROM","","2020-11-21T11:10Z"
,,,,,,,,,,"23","17","TO","","2020-11-21T12:57Z"
,,,,,,,,,,"17","24","FROM","","2020-11-22T16:57Z"
,,,,,,,,,,"24","19","TO","","2020-11-22T18:30Z"
,,,,,,,,,,"19","25","FROM","","2020-11-23T16:57Z"
,,,,,,,,,,"25","1","TO","","2020-11-23T18:30Z"
,,,,,,,,,,"20","27","CLASS","",""
,,,,,,,,,,"20","28","CLASS","",""
,,,,,,,,,,"20","29","CLASS","",""
,,,,,,,,,,"21","30","CLASS","",""
,,,,,,,,,,"21","31","CLASS","",""
,,,,,,,,,,"21","32","CLASS","",""
,,,,,,,,,,"22","33","CLASS","",""
,,,,,,,,,,"22","34","CLASS","",""
,,,,,,,,,,"22","35","CLASS","",""
,,,,,,,,,,"23","36","CLASS","",""
,,,,,,,,,,"23","37","CLASS","",""
,,,,,,,,,,"23","38","CLASS","",""
,,,,,,,,,,"24","39","CLASS","",""
,,,,,,,,,,"24","40","CLASS","",""
,,,,,,,,,,"24","41","CLASS","",""
,,,,,,,,,,"25","42","CLASS","",""
,,,,,,,,,,"25","43","CLASS","",""
,,,,,,,,,,"25","44","CLASS","",""
,,,,,,,,,,"26","36","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"26","85","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"64","0","LOCATED","",""
,,,,,,,,,,"65","0","LOCATED","",""
,,,,,,,,,,"66","0","LOCATED","",""
,,,,,,,,,,"67","0","LOCATED","",""
,,,,,,,,,,"68","5","LOCATED","",""
,,,,,,,,,,"69","5","LOCATED","",""
,,,,,,,,,,"70","8","LOCATED","",""
,,,,,,,,,,"71","10","LOCATED","",""
,,,,,,,,,,"73","72","LOCATED","",""
,,,,,,,,,,"74","14","LOCATED","",""
,,,,,,,,,,"75","16","LOCATED","",""
,,,,,,,,,,"76","18","LOCATED","",""
,,,,,,,,,,"68","77","FROM","","2020-11-30T14:15Z"
,,,,,,,,,,"77","67","TO","","2020-11-30T21:50Z"
,,,,,,,,,,"67","78","FROM","","2020-11-29T22:21Z"
,,,,,,,,,,"78","76","TO","","2020-11-30T08:51Z"
,,,,,,,,,,"76","79","FROM","","2020-11-21T21:30Z"
,,,,,,,,,,"79","74","TO","","2020-11-22T19:51Z"
,,,,,,,,,,"64","80","FROM","","2020-11-21T11:10Z"
,,,,,,,,,,"80","75","TO","","2020-11-21T12:57Z"
,,,,,,,,,,"76","81","FROM","","2020-11-22T16:57Z"
,,,,,,,,,,"81","74","TO","","2020-11-22T18:30Z"
,,,,,,,,,,"74","82","FROM","","2020-11-23T16:57Z"
,,,,,,,,,,"82","64","TO","","2020-11-23T18:30Z"
,,,,,,,,,,"77","83","CLASS","",""
,,,,,,,,,,"77","84","CLASS","",""
,,,,,,,,,,"77","85","CLASS","",""
,,,,,,,,,,"78","86","CLASS","",""
,,,,,,,,,,"78","87","CLASS","",""
,,,,,,,,,,"78","88","CLASS","",""
,,,,,,,,,,"79","89","CLASS","",""
,,,,,,,,,,"79","90","CLASS","",""
,,,,,,,,,,"79","91","CLASS","",""
,,,,,,,,,,"80","92","CLASS","",""
,,,,,,,,,,"80","93","CLASS","",""
,,,,,,,,,,"80","94","CLASS","",""
,,,,,,,,,,"81","95","CLASS","",""
,,,,,,,,,,"81","96","CLASS","",""
,,,,,,,,,,"81","97","CLASS","",""
,,,,,,,,,,"82","98","CLASS","",""
,,,,,,,,,,"82","99","CLASS","",""
,,,,,,,,,,"82","100","CLASS","",""
,,,,,,,,,,"26","27","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,"26","33","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,"26","83","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,"26","30","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"101","30","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,"101","96","REGISTERED_ON","2020-12-03",""
,,,,,,,,,,"101","31","REGISTERED_ON","2020-12-05",""
,,,,,,,,,,"101","44","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,"101","89","REGISTERED_ON","2020-12-05",""
,,,,,,,,,,"101","27","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"104","27","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,"104","89","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,"104","43","REGISTERED_ON","2020-12-03",""
,,,,,,,,,,"104","44","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,"104","85","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,"104","36","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"102","27","REGISTERED_ON","2020-12-05",""
,,,,,,,,,,"102","96","REGISTERED_ON","2020-12-06",""
,,,,,,,,,,"102","31","REGISTERED_ON","2020-12-04",""
,,,,,,,,,,"102","42","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"102","89","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,"102","36","REGISTERED_ON","2020-12-01",""

