"_id","_labels","class_type","email","id","is_admin","name","password_hash","phone_number","price","seats","_start","_end","_type","buy_date","time"
"169",":City","","","5","","Санкт-Петербург","","","","",,,,,
"170",":City","","","8","","Амстердам","","","","",,,,,
"171",":City","","","10","","Афины","","","","",,,,,
"172",":City","","","12","","Белград","","","","",,,,,
"173",":City","","","14","","Берлин","","","","",,,,,
,,,,,,,,,,,"27","20","CLASS","",""
,,,,,,,,,,,"27","21","CLASS","",""
,,,,,,,,,,,"67","49","CLASS","",""
,,,,,,,,,,,"67","50","CLASS","",""
,,,,,,,,,,,"67","51","CLASS","",""
,,,,,,,,,,,"68","52","CLASS","",""
,,,,,,,,,,,"68","53","CLASS","",""
,,,,,,,,,,,"68","54","CLASS","",""
,,,,,,,,,,,"69","55","CLASS","",""
,,,,,,,,,,,"69","56","CLASS","",""
,,,,,,,,,,,"69","57","CLASS","",""
,,,,,,,,,,,"70","58","CLASS","",""
,,,,,,,,,,,"70","59","CLASS","",""
,,,,,,,,,,,"70","60","CLASS","",""
,,,,,,,,,,,"71","61","CLASS","",""
,,,,,,,,,,,"71","62","CLASS","",""
,,,,,,,,,,,"71","63","CLASS","",""
,,,,,,,,,,,"72","64","CLASS","",""
,,,,,,,,,,,"72","65","CLASS","",""
,,,,,,,,,,,"72","66","CLASS","",""
,,,,,,,,,,,"156","22","FROM","","2020-11-21T12:31Z"
,,,,,,,,,,,"156","23","FROM","","2020-11-24T05:21Z"
,,,,,,,,,,,"160","24","FROM","","2020-11-21T15:30Z"
,,,,,,,,,,,"156","25","FROM","","2020-11-21T11:10Z"
,,,,,,,,,,,"166","26","FROM","","2020-11-22T16:57Z"
,,,,,,,,,,,"167","27","FROM","","2020-11-23T16:57Z"
,,,,,,,,,,,"41","67","FROM","","2020-11-30T14:15Z"
,,,,,,,,,,,"40","68","FROM","","2020-11-29T22:21Z"
,,,,,,,,,,,"48","69","FROM","","2020-11-21T21:30Z"
,,,,,,,,,,,"37","70","FROM","","2020-11-21T11:10Z"
,,,,,,,,,,,"48","71","FROM","","2020-11-22T16:57Z"
,,,,,,,,,,,"46","72","FROM","","2020-11-23T16:57Z"
,,,,,,,,,,,"157","168","LOCATED","",""
,,,,,,,,,,,"158","168","LOCATED","",""
,,,,,,,,,,,"159","168","LOCATED","",""
,,,,,,,,,,,"160","169","LOCATED","",""
,,,,,,,,,,,"161","169","LOCATED","",""
,,,,,,,,,,,"162","170","LOCATED","",""
,,,,,,,,,,,"163","171","LOCATED","",""
,,,,,,,,,,,"164","172","LOCATED","",""
,,,,,,,,,,,"165","173","LOCATED","",""
,,,,,,,,,,,"156","168","LOCATED","",""
,,,,,,,,,,,"166","28","LOCATED","",""
,,,,,,,,,,,"167","29","LOCATED","",""
,,,,,,,,,,,"22","4","CLASS","",""
,,,,,,,,,,,"22","5","CLASS","",""
,,,,,,,,,,,"22","6","CLASS","",""
,,,,,,,,,,,"23","7","CLASS","",""
,,,,,,,,,,,"23","8","CLASS","",""
,,,,,,,,,,,"23","9","CLASS","",""
,,,,,,,,,,,"24","10","CLASS","",""
,,,,,,,,,,,"24","11","CLASS","",""
,,,,,,,,,,,"24","12","CLASS","",""
,,,,,,,,,,,"25","13","CLASS","",""
,,,,,,,,,,,"25","14","CLASS","",""
,,,,,,,,,,,"25","15","CLASS","",""
,,,,,,,,,,,"26","16","CLASS","",""
,,,,,,,,,,,"26","17","CLASS","",""
,,,,,,,,,,,"26","18","CLASS","",""
,,,,,,,,,,,"27","19","CLASS","",""
,,,,,,,,,,,"37","168","LOCATED","",""
,,,,,,,,,,,"38","168","LOCATED","",""
,,,,,,,,,,,"39","168","LOCATED","",""
,,,,,,,,,,,"40","168","LOCATED","",""
,,,,,,,,,,,"41","169","LOCATED","",""
,,,,,,,,,,,"42","169","LOCATED","",""
,,,,,,,,,,,"43","170","LOCATED","",""
,,,,,,,,,,,"44","171","LOCATED","",""
,,,,,,,,,,,"45","30","LOCATED","",""
,,,,,,,,,,,"46","173","LOCATED","",""
,,,,,,,,,,,"47","28","LOCATED","",""
,,,,,,,,,,,"48","29","LOCATED","",""
,,,,,,,,,,,"31","13","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"31","51","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"31","4","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,,"31","10","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,,"31","49","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,,"31","7","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"32","7","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,,"32","62","REGISTERED_ON","2020-12-03",""
,,,,,,,,,,,"32","8","REGISTERED_ON","2020-12-05",""
,,,,,,,,,,,"32","21","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,,"32","55","REGISTERED_ON","2020-12-05",""
,,,,,,,,,,,"32","4","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"35","4","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,,"35","55","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,,"35","20","REGISTERED_ON","2020-12-03",""
,,,,,,,,,,,"35","21","REGISTERED_ON","2020-12-01",""
,,,,,,,,,,,"35","51","REGISTERED_ON","2020-12-02",""
,,,,,,,,,,,"35","13","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"33","4","REGISTERED_ON","2020-12-05",""
,,,,,,,,,,,"33","62","REGISTERED_ON","2020-12-06",""
,,,,,,,,,,,"33","8","REGISTERED_ON","2020-12-04",""
,,,,,,,,,,,"33","19","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"33","55","REGISTERED_ON","2020-11-30",""
,,,,,,,,,,,"33","13","REGISTERED_ON","2020-12-01",""

